time,deg,depth,mag_mw,detection
2017-07-15T05:47:30.500Z,152.7936184854,10,5.28,0
2017-07-15T20:30:16.420Z,90.8542010698,8.7,5.4,0
2017-07-15T22:40:18.340Z,129.8701838071,10,5.365,0
2017-07-16T13:27:49.170Z,15.3389265841,0.63,3.47,0
2017-07-16T17:06:41.420Z,83.1157994795,10,5.5,1
2017-07-16T19:26:39.550Z,55.5379056083,10,5.195,0
2017-07-17T01:20:32.130Z,83.0130404323,10,5.6,1
2017-07-17T08:49:49.520Z,7.564731974,11.57,4.43,1
2017-07-17T09:27:04.956Z,14.0055238567,6.8,4.22,0
2017-07-17T11:05:08.940Z,40.4809466434,7.92,6.2,1
2017-07-17T11:23:01.660Z,40.4479230413,10,5.365,1
2017-07-17T23:34:13.870Z,40.4329554958,10.99,7.7,1
2017-07-18T00:26:24.800Z,40.2580842547,10,5.535,1
2017-07-18T01:06:36.480Z,39.950604262,10,5.28,1
2017-07-18T01:51:37.270Z,41.2301090448,10,5.365,1
2017-07-18T02:05:19.850Z,79.2079847427,44.05,6.4,1
2017-07-18T06:02:39.550Z,41.0557068344,10,5.535,1
2017-07-18T21:13:56.680Z,1.6585726794,-1.5,2.1,0
2017-07-18T23:42:39.580Z,18.8705786979,73.97,4.12,0
2017-07-19T07:15:27.660Z,82.0049537769,99.41,5.45,1
2017-07-19T11:26:17.920Z,44.1721363574,194.74,5.11,0
2017-07-19T12:16:25.060Z,146.8081020893,10,5.9,1
2017-07-19T13:31:35.790Z,64.3056274058,10,5.365,0
2017-07-19T17:11:44.790Z,80.3694641754,8.77,5.45,0
2017-07-19T23:22:28.320Z,87.7459076665,95.47,5.2,0
2017-07-20T00:11:25.400Z,65.4035115926,34.57,5.8,1
2017-07-20T03:21:06.980Z,2.5910172014,1.63,2.46,0
2017-07-20T21:15:17.040Z,1.7009689679,-0.37,2.05,0
2017-07-20T22:31:12.050Z,89.4883786905,10,6.7,1
2017-07-20T22:59:40.470Z,40.8954030903,10,5.45,1
2017-07-20T23:32:15.030Z,76.1982035563,50.57,5.365,0
2017-07-21T05:24:15.010Z,12.753101259,1.37,4.175,0
2017-07-21T08:59:08.650Z,90.2197315058,18.31,5.5,1
2017-07-21T17:09:45.310Z,89.4683631701,10,5,0
2017-07-22T01:46:46.070Z,62.637552214,22.26,5.195,0
2017-07-22T06:29:50.460Z,85.4365819969,48.7,5.3,0
2017-07-23T04:10:06.670Z,39.7290791314,29.59,5.365,1
2017-07-23T15:35:41.050Z,62.542480533,10,5.6,1
2017-07-23T22:29:59.190Z,7.5762123067,9.01,3.11,0
2017-07-25T09:08:43.110Z,2.180318905,24.17,2.64,1
2017-07-25T17:09:20.610Z,7.5533812216,9.01,2.94,0
2017-07-26T10:32:57.390Z,79.6449477969,10,5.9,1
2017-07-27T12:08:38.630Z,106.0551618209,14.92,5.8,0
2017-07-27T17:53:25.040Z,69.3419135476,10,5.9,0
2017-07-28T02:39:16.090Z,40.2373643269,10,5.705,1
2017-07-28T04:09:45.390Z,1.1486425652,14.77,1.17,0
2017-07-29T00:02:40.910Z,9.074419211,26.54,5.08,1
2017-07-29T17:08:26.240Z,8.802624787,24.34,4.58,1
2017-07-30T21:00:49.370Z,54.3778547763,86.71,5.875,1
2017-07-31T09:02:57.610Z,26.0331289954,69.03,5.11,0
2017-07-31T10:16:38.910Z,0.8242832324,3.16,1,1
2017-08-01T05:00:24.606Z,32.9446049726,36.6,5.22,1
2017-08-01T05:00:26.020Z,32.9224503395,58.09,5.45,1
2017-08-01T06:13:53.920Z,91.9614404736,85.07,5.6,1
2017-08-01T13:16:12.730Z,9.5147861671,7.35,3.06,0
2017-08-01T17:02:05.010Z,66.3790508255,5.88,5,0
2017-08-02T07:15:13.980Z,95.0749333484,88.16,5.5,0
2017-08-03T08:53:30.710Z,80.5349664459,10,5.4,1
2017-08-03T21:15:42.210Z,1.6253625449,-1.5,2.07,0
2017-08-03T21:25:01.990Z,9.5876368707,10.48,3.56,0
2017-08-03T23:43:28.130Z,82.5230936344,10,5.4,1
2017-08-04T05:02:34.350Z,7.5818368994,10.27,2.84,0
2017-08-04T11:19:46.460Z,85.0988745604,67.05,5.1,1
2017-08-04T17:43:56.040Z,92.8065969913,13.5,5.1,0
2017-08-05T00:30:41.050Z,98.8263056565,73.35,5.8,0
2017-08-05T07:39:21.410Z,97.597561764,38.7,5.28,0
2017-08-05T10:05:37.300Z,35.9462047795,44.55,4.94,0
2017-08-05T11:17:11.840Z,9.5217332012,8.48,3.2,0
2017-08-05T15:59:24.579Z,20.5047674472,61.9,3.34,0
2017-08-06T00:15:10.060Z,88.6242419474,72.79,5.7,1
2017-08-06T14:06:41.520Z,57.3400706415,10,4.855,0
2017-08-06T19:32:06.320Z,151.9075860488,10,5.8,1
2017-08-07T06:15:00.280Z,45.6876947789,10,4.7,0
2017-08-07T06:26:44.230Z,91.1258533542,34.53,5.8,1
2017-08-07T12:12:11.610Z,92.639508178,10,5.535,0
2017-08-07T14:58:27.570Z,79.3099845127,100.41,5.195,0
2017-08-08T07:42:22.460Z,89.5085607467,10,5.3,0
